PID,Start,Deadline,Location,Payment,Budget,Notes,Proposed
1,1/5/2010,5/15/2015,610 Sycamore Fork Road,550000,450000,,1
2,9/15/2012,10/26/2017,1559 Tyler Avenue,300000,250000,,2
3,5/12/2015,8/15/2018,36 Chardonnay Drive,700000,460000,,1
4,1/1/2016,1/6/2022,187 Rhapsody Street,612000,546000,,3
5,10/15/2018,11/25/2021,4503 Terry Lane,497000,345000,,2
6,9/14/2020,5/14/2022,482 Collins Street,754000,642000,,4
7,3/18/2021,4/24/2024,3584 Rinehart Road,523000,415000,,5
8,2/24/2021,8/9/2026,4564 Alpha Avenue,254000,200000,,3
9,4/7/2022,6/12/2032,2187 Arrowood Drive,952000,612000,,6
10,7/1/2024,5/13/2027,2569 Saints Alley,497000,249000,,5
